Timestamp                       Thread     Type        Activity             PID    TTL  
2021-02-08 19:26:17.445517+0800 0x437      Default     0x0                  0      0    kernel: memorystatus: set assertion priority(3) target CalendarWidgetExtension:719
2021-02-08 19:26:17.445718+0800 0x1758     Default     0x0                  0      0    kernel: memorystatus: assertion priority 3 overrides priority 0 for CalendarWidgetExtension:719
2021-02-08 19:26:17.445845+0800 0x1758     Default     0x0                  0      0    kernel: memorystatus: assertion priority 3 overrides priority 0 for CalendarWidgetExtension:719
2021-02-08 19:26:17.445911+0800 0x1758     Default     0x0                  0      0    kernel: memorystatus: assertion priority 3 overrides priority 0 for CalendarWidgetExtension:719
2021-02-08 19:26:17.446006+0800 0x1758     Default     0x0                  0      0    kernel: memorystatus: assertion priority 3 overrides priority 0 for CalendarWidgetExtension:719
2021-02-08 19:26:17.446112+0800 0x1758     Default     0x0                  0      0    kernel: memorystatus: assertion priority 3 overrides priority 0 for CalendarWidgetExtension:719
2021-02-08 19:26:17.446618+0800 0x1f60     Default     0x0                  0      0    kernel: memorystatus: assertion priority 3 overrides priority 0 for CalendarWidgetExtension:719
2021-02-08 19:26:17.448193+0800 0x1f60     Default     0x0                  0      0    kernel: memorystatus: assertion priority 3 overrides priority 0 for CalendarWidgetExtension:719
2021-02-08 19:26:17.448329+0800 0x1747     Default     0x0                  0      0    kernel: memorystatus: assertion priority 3 overrides priority 0 for CalendarWidgetExtension:719
2021-02-08 19:26:17.448403+0800 0x1755     Default     0x0                  0      0    kernel: memorystatus: assertion priority 3 overrides priority 0 for CalendarWidgetExtension:719
2021-02-08 19:26:17.450055+0800 0x174b     Default     0x0                  0      0    kernel: memorystatus: assertion priority 3 overrides priority 0 for CalendarWidgetExtension:719
2021-02-08 19:26:17.450237+0800 0x174b     Default     0x0                  0      0    kernel: memorystatus: assertion priority 3 overrides priority 0 for CalendarWidgetExtension:719
2021-02-08 19:26:17.450399+0800 0x174b     Default     0x0                  0      0    kernel: memorystatus: assertion priority 3 overrides priority 0 for CalendarWidgetExtension:719
2021-02-08 19:26:17.450792+0800 0x174b     Default     0x0                  0      0    kernel: memorystatus: assertion priority 3 overrides priority 0 for CalendarWidgetExtension:719
2021-02-08 19:26:17.580066+0800 0x4ad      Default     0x0                  0      0    kernel: process mDNSResponder[163] caught waking the CPU 45001 times over ~36 seconds, averaging 1249 wakes / second and violating a limit of 45000 wakes over 300 seconds.
